"","spp","sp_code","Division","Family","Genus","Consv_stat","Native_stat","Coastal","Ha_pres","Ma_pres","Ka_pres","Oa_pres","Mo_pres","La_pres","Ke_pres","Ni_pres","Cover_D","Cover_1","Cover_2","Cover_3","CCE_Area","Vulnerability","Tolerate","Migrate","Micro_refugia","Eff_Mrf_A","Eff_Tol_A","Eff_Mig_A","Habqual_Mrg","Habqual_Tol","Habqual_Mig","Dispersion","Quality_avg","Area_avg","nonNat_comp","Pioneer","Winkout","Overlap_sp","Dist_Ces","p_tol_pts","n_fce_bioreg","Overlap_Ces","change_CE_A","Prox_to_top","Tot_A_MR","Tot_A_TL","Tot_A_MG","new_lava_MR","new_lava_TL","new_lava_MG","Hi_mod_A_MR","Hi_mod_A_TL","Hi_mod_A_MG","SLR_A_lost in_MR","Natvcov_MR","Natvcov_TL","Natvcov_MG","prot_A_MR","prot_A_TL","prot_A_MG","Ung_A_MR","Ung_A_TL","Ung_A_MG","Inv_MR","Inv_TL","Inv_MG","Frag_MR","Frag_TL","Frag_MG","ppt_grad_MR","Slope_MR","Asp_var_MR","SlopeVar_MR"
"11","Adenophorus epigaeus",11,"Pteridophyte","Grammitidaceae","Adenophorus","Apparently Secure","Endemic","Non_coastal",0,0,1,0,0,0,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Mesic_forest",91.5408,0.465147656124197,"Medium","Small","Medium","Small","Small","Very_small","Large","Very_large","Medium","Very_small","Large","Very_small","No","No","No","Yes","Large","none","Few","Small","Large_decrease","Close","Small","Small","Very_small","Small","Small","Small","Small","Small","Small","Small","Large","Large","Large","Large","Large","Small","Medium","Large","Medium","Medium","Medium","Large","Small","Small","Small","High","Medium","Large","Medium"
"12","Adenophorus haalilioanus",12,"Pteridophyte","Grammitidaceae","Adenophorus","Apparently Secure","Endemic","Non_coastal",0,0,1,1,0,0,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Mesic_forest",451.7928,0.406490083850969,"Medium","Large","Medium","Medium","Medium","Medium","Medium","Large","Very_large","Small","Large","Medium","No","No","No","Yes","Medium","none","Few","Medium","Medium_decrease","Close","Medium","Medium","Medium","Small","Small","Small","Small","Small","Small","Small","Medium","Large","Large","Medium","Medium","Large","Small","Medium","Large","Small","Medium","Small","Large","Medium","Small","High","High","Large","Small"
"13","Adenophorus hymenophylloides",13,"Pteridophyte","Grammitidaceae","Adenophorus","Apparently Secure","Endemic","Non_coastal",1,1,1,1,1,1,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Perennial_grassland",3783.2877,0.233083396215722,"Very_large","Large","Large","Very_large","Very_large","Medium","Medium","Very_large","Very_large","Large","Large","Very_large","No","No","No","Yes","Small","Large","Many","Large","Medium_decrease","Far","Large","Very_large","Medium","Medium","Large","Large","Large","Medium","Small","Small","Medium","Large","Large","Medium","Large","Large","Small","Large","Large","Small","Small","Medium","Large","Small","Small","Medium","Medium","Medium","Medium"
"14","Adenophorus oahuensis",14,"Pteridophyte","Grammitidaceae","Adenophorus","Apparently Secure","Endemic","Non_coastal",0,0,0,1,0,0,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Mesic_forest",247.482,0.46202646186761,"Medium","Small","Small","Medium","Small","Small","Small","Large","Medium","Small","Medium","Small","No","No","No","Yes","Large","none","Few","Small","Large_decrease","Far","Medium","Small","Small","Small","Small","Small","Medium","Small","Small","Small","Small","Large","Large","Small","Small","Small","Small","Small","Medium","Small","Small","Small","Large","Medium","Medium","High","High","Large","Small"
"15","Adenophorus periens",15,"Pteridophyte","Grammitidaceae","Adenophorus","Endangered","Endemic","Non_coastal",1,1,1,1,1,1,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Mesic_forest",1244.7828,0.269286482029795,"Large","Large","Large","Large","Large","Large","Large","Very_large","Very_large","Medium","Very_large","Large","No","No","No","Yes","Medium","Medium","Many","Medium","Medium_decrease","Close","Large","Large","Large","Large","Medium","Small","Medium","Small","Small","Small","Large","Large","Large","Medium","Large","Large","Medium","Large","Large","Small","Small","Small","Medium","Small","Small","High","Medium","Medium","Medium"
"16","Adenophorus pinnatifidus",16,"Pteridophyte","Grammitidaceae","Adenophorus","Apparently Secure","Endemic","Non_coastal",1,1,1,1,1,1,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Mesic_forest",4475.7027,0.214135861364563,"Very_large","Very_large","Large","Very_large","Very_large","Large","Small","Very_large","Very_large","Very_large","Large","Very_large","No","Yes","No","Yes","Small","Large","Many","Large","Small_decr_or_inc","Far","Very_large","Very_large","Large","Medium","Large","Large","Large","Medium","Small","Small","Small","Large","Large","Small","Large","Large","Small","Medium","Large","Small","Small","Medium","Large","Small","Small","Medium","Medium","Medium","Medium"
"17","Adenophorus tamariscinus",17,"Pteridophyte","Grammitidaceae","Adenophorus","Apparently Secure","Endemic","Non_coastal",1,1,1,1,1,1,0,0,"na","Wet_forest","Mesic_forest","Perennial_grassland",7031.9826,0.200458223628863,"Very_large","Very_large","Large","Very_large","Very_large","Very_large","Small","Large","Very_large","Very_large","Large","Very_large","No","Yes","No","Yes","Small","Medium","Many","Large","Small_decr_or_inc","Far","Very_large","Very_large","Very_large","Medium","Large","Large","Large","Medium","Small","Small","Small","Large","Large","Small","Large","Large","Small","Large","Large","Small","Medium","Medium","Large","Small","Small","Medium","Medium","Medium","Medium"
"18","Adenophorus tripinnatifidus",18,"Pteridophyte","Grammitidaceae","Adenophorus","Apparently Secure","Endemic","Non_coastal",1,1,1,1,1,1,0,0,"Wet_forest","Wet_forest","Mesic_forest","Perennial_grassland",3851.1432,0.247496847524865,"Very_large","Large","Large","Very_large","Very_large","Medium","Medium","Large","Very_large","Medium","Large","Very_large","No","No","No","Yes","Small","Medium","Many","Large","Medium_decrease","Close","Very_large","Very_large","Medium","Large","Large","Medium","Large","Medium","Small","Small","Medium","Large","Large","Medium","Large","Large","Medium","Large","Large","Small","Medium","Small","Medium","Small","Small","Medium","Medium","Small","Large"
"19","Adenostemma viscosum",19,"Dicot","Asteraceae","Adenostemma","Apparently Secure","Indigenous","Non_coastal",1,1,1,1,1,1,0,0,"na","Wet_mesic_forest","Wet_forest","Perennial_grassland",4093.6518,0.261768713304911,"Large","Very_large","Large","Very_large","Very_large","Very_large","Small","Medium","Large","Very_large","Medium","Very_large","No","No","No","Yes","Medium","Large","Many","Medium","Small_decr_or_inc","Far","Very_large","Very_large","Very_large","Large","Medium","Large","Large","Large","Medium","Large","Small","Small","Medium","Small","Small","Medium","Small","Small","Medium","Medium","Small","Small","Large","Medium","Small","Medium","Low","Small","Large"
"20","Adiantum capillus-veneris",20,"Pteridophyte","Pteridaceae","Adiantum","Apparently Secure","Indigenous","Non_coastal",1,1,1,1,1,1,0,1,"na","Wet_forest","Wet_mesic_forest","Perennial_grassland",2791.7766,0.310694739790689,"Large","Very_large","Medium","Large","Large","Very_large","Small","Large","Very_large","Large","Medium","Very_large","No","No","No","Yes","Small","none","Many","Large","Small_decr_or_inc","Close","Large","Large","Large","Medium","Small","Small","Large","Large","Small","Large","Small","Medium","Large","Small","Medium","Large","Small","Medium","Large","Medium","Small","Medium","Large","Medium","Small","Medium","Medium","Medium","Medium"
"21","Agrostis avenacea",21,"Monocot","Poaceae","Agrostis","Apparently Secure","Indigenous","Non_coastal",1,1,1,1,1,1,1,0,"na","Wet_forest","Perennial_grassland","Wet_mesic_forest",12587.391,0.272384970741798,"Very_large","Large","Large","Very_large","Very_large","Large","Small","Large","Large","Very_large","Medium","Very_large","No","No","No","Yes","Small","none","Many","Large","Small_decr_or_inc","Far","Very_large","Very_large","Very_large","Large","Large","Large","Large","Medium","Small","Large","Small","Medium","Large","Small","Medium","Large","Small","Medium","Large","Medium","Medium","Large","Large","Small","Medium","Low","Low","Small","Large"
"22","Agrostis sandwicensis",22,"Monocot","Poaceae","Agrostis","Apparently Secure","Endemic","Non_coastal",1,1,1,1,0,0,0,0,"na","Wet_forest","Perennial_grassland","Mesic_forest",7910.3943,0.271925496868211,"Very_large","Medium","Large","Very_large","Very_large","Small","Medium","Very_large","Medium","Large","Large","Large","No","No","No","Yes","Small","Large","Many","Large","Small_decr_or_inc","Close","Very_large","Very_large","Small","Large","Large","Large","Large","Medium","Small","Small","Medium","Large","Large","Medium","Large","Small","Medium","Large","Large","Small","Medium","Large","Medium","Small","Large","Medium","Medium","Small","Large"
"23","Alectryon macrococcus",23,"Dicot","Sapindaceae","Alectryon","Endangered","Endemic","Non_coastal",0,1,1,1,1,0,0,0,"na","Wet_mesic_forest","Mesic_forest","Perennial_grassland",620.4825,0.449885764887082,"Small","Medium","Small","Medium","Medium","Large","Small","Very_small","Small","Medium","Small","Medium","No","No","No","Yes","Medium","Small","Many","Medium","Medium_decrease","Close","Medium","Medium","Large","Medium","Medium","Medium","Medium","Medium","Medium","Small","Small","Small","Small","Small","Large","Small","Medium","Medium","Large","Medium","Large","Large","Large","Large","Medium","Medium","High","Large","Small"
"24","Alphitonia ponderosa",24,"Dicot","Rhamnaceae","Alphitonia","Apparently Secure","Endemic","Non_coastal",1,1,1,1,1,1,0,0,"na","Perennial_grassland","Mesic_forest","Wet_mesic_forest",3303.378,0.341143105637133,"Medium","Large","Medium","Very_large","Large","Very_large","Very_small","Small","Medium","Large","Small","Very_large","No","No","No","Yes","Medium","Medium","Many","Medium","Small_decr_or_inc","Close","Very_large","Large","Very_large","Large","Large","Large","Large","Medium","Medium","Small","Small","Small","Large","Small","Medium","Medium","Small","Medium","Large","Large","Large","Large","Large","Medium","Medium","Low","Medium","Medium","Medium"
"25","Alyxia oliviformis",25,"Dicot","Apocynaceae","Alyxia","Apparently Secure","Endemic","Non_coastal",1,1,1,1,1,1,1,1,"na","Wet_forest","Perennial_grassland","Wet_mesic_forest",12067.1442,0.27113949153039,"Large","Very_large","Large","Very_large","Very_large","Very_large","Small","Large","Large","Large","Medium","Very_large","No","No","No","Yes","Small","none","Many","Large","Small_decr_or_inc","Close","Very_large","Very_large","Very_large","Large","Large","Large","Large","Medium","Small","Small","Small","Medium","Large","Small","Medium","Large","Small","Medium","Large","Medium","Medium","Large","Large","Small","Small","Low","Medium","Medium","Large"
"26","Thelypteris globulifera",26,"Pteridophyte","Thelypteridaceae","Thelypteris","Apparently Secure","Endemic","Non_coastal",1,1,1,1,1,1,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Mesic_forest",5640.4557,0.303924723301961,"Very_large","Medium","Medium","Large","Very_large","Small","Small","Very_large","Large","Very_large","Large","Large","No","No","No","Yes","Small","none","Many","Large","Small_decr_or_inc","Far","Large","Very_large","Small","Medium","Medium","Medium","Large","Medium","Medium","Small","Small","Large","Medium","Small","Large","Large","Small","Large","Large","Small","Small","Small","Large","Small","Medium","Medium","Medium","Small","Large"
"27","Anoectochilus sandvicensis",27,"Monocot","Orchidaceae","Anoectochilus","Rare","Endemic","Non_coastal",1,1,1,1,1,1,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Perennial_grassland",2933.9856,0.296498755801268,"Large","Large","Large","Large","Large","Medium","Medium","Very_large","Very_large","Large","Large","Large","No","No","No","Yes","Small","Medium","Many","Large","Medium_decrease","Far","Large","Large","Medium","Medium","Large","Large","Large","Medium","Small","Small","Medium","Large","Large","Medium","Large","Large","Small","Medium","Large","Small","Small","Medium","Large","Small","Small","Medium","Medium","Small","Large"
"28","Antidesma platyphyllum",28,"Dicot","Phyllanthaceae","Antidesma","Apparently Secure","Endemic","Non_coastal",1,1,1,1,1,1,0,0,"na","Wet_forest","Wet_mesic_forest","Perennial_grassland",7386.264,0.211102219939001,"Very_large","Very_large","Large","Very_large","Very_large","Very_large","Very_small","Large","Very_large","Very_large","Large","Very_large","No","No","No","Yes","Small","Large","Many","Large","Small_decr_or_inc","Far","Very_large","Very_large","Very_large","Medium","Large","Large","Large","Large","Small","Small","Small","Medium","Large","Small","Medium","Large","Small","Medium","Large","Medium","Small","Medium","Large","Small","Small","Medium","Medium","Medium","Large"
"29","Antidesma pulvinatum",29,"Dicot","Phyllanthaceae","Antidesma","Apparently Secure","Endemic","Non_coastal",1,1,0,1,1,0,0,0,"na","Perennial_grassland","Decidious_shrubland","Wet_mesic_forest",3372.6465,0.340193738630022,"Medium","Large","Medium","Very_large","Large","Very_large","Very_small","Small","Medium","Large","Small","Very_large","No","No","No","Yes","Medium","none","Many","Medium","Medium_decrease","Far","Very_large","Large","Very_large","Large","Large","Large","Large","Large","Medium","Small","Small","Small","Medium","Small","Small","Medium","Small","Small","Medium","Large","Medium","Medium","Large","Large","Medium","Low","Low","Medium","Large"
"30","Arachniodes insularis",30,"Pteridophyte","Dryopteridaceae","Arachniodes","Apparently Secure","Endemic","Non_coastal",1,1,1,1,1,0,0,0,"Wet_forest","Wet_forest","Perennial_grassland","Wet_mesic_forest",2437.6176,0.316061510128393,"Large","Medium","Large","Large","Large","Small","Medium","Very_large","Very_large","Medium","Large","Medium","No","No","No","Yes","Small","none","Many","Large","Medium_decrease","Close","Large","Large","Small","Medium","Medium","Large","Medium","Medium","Small","Small","Medium","Large","Large","Medium","Large","Large","Medium","Large","Large","Small","Medium","Small","Medium","Small","Small","Medium","Medium","Small","Large"
"31","Argemone glauca",31,"Dicot","Papaveraceae","Argemone","Apparently Secure","Endemic","Non_coastal",1,1,1,1,1,1,1,1,"na","Perennial_grassland","Dry_forest","Decidious_shrubland",9206.6247,0.321186240248487,"Large","Large","Medium","Very_large","Very_large","Large","Very_small","Medium","Medium","Medium","Medium","Very_large","Yes","Yes","No","Yes","Small","Large","Many","Medium","Medium_decrease","Close","Very_large","Very_large","Large","Large","Large","Large","Large","Medium","Medium","Large","Small","Medium","Large","Small","Medium","Large","Small","Large","Large","Large","Large","Large","Large","Medium","Large","Low","Low","Small","Large"
"32","Argyroxiphium caliginis",32,"Dicot","Asteraceae","Argyroxiphium","Rare","Endemic","Non_coastal",0,1,0,0,0,0,0,0,"Wet_forest","Wet_forest","Perennial_grassland","Dry_forest",5.7573,0.565704008783491,"Very_small","Small","Small","Very_small","Very_small","Very_small","Medium","Very_small","Medium","Very_small","Small","Very_small","No","No","No","No","Large","none","Few","Small","Large_decrease","Close","Very_small","Very_small","Very_small","Small","none","Small","Small","none","Small","Small","Large","none","Large","Small","none","Small","Large","none","Large","Large","Small","Large","Small","none","Small","High","High","Medium","Small"
"33","Argyroxiphium grayanum",33,"Dicot","Asteraceae","Argyroxiphium","Apparently Secure","Endemic","Non_coastal",0,1,0,0,0,0,0,0,"Wet_forest","Wet_forest","Mesic_forest","Wet_mesic_forest",87.2757,0.441888483951787,"Medium","Small","Medium","Small","Small","Very_small","Large","Large","Large","Very_small","Large","Very_small","No","No","No","Yes","Large","Medium","Few","Small","Large_decrease","Close","Small","Small","Very_small","Small","Small","Small","Small","Small","Small","Small","Large","Large","Large","Large","Large","Large","Large","Large","Large","Medium","Medium","Medium","Small","Small","Small","High","Medium","Small","Medium"
"34","Argyroxiphium kauense",34,"Dicot","Asteraceae","Argyroxiphium","Endangered","Endemic","Non_coastal",1,0,0,0,0,0,0,0,"na","Dry_shrubland","Mesic_forest","Wet_forest",558.2493,0.363329252366596,"Large","Medium","Large","Medium","Medium","Small","Very_large","Very_large","Large","Very_small","Very_large","Medium","No","No","No","Yes","Large","Medium","Few","Small","Large_decrease","Close","Medium","Medium","Small","Large","Large","Large","Small","Small","Small","Small","Large","Large","Large","Large","Large","Large","Large","Large","Large","Medium","Small","Small","Small","Small","Small","Low","Low","Small","Medium"
"35","Argyroxiphium sandwicense",35,"Dicot","Asteraceae","Argyroxiphium","Endangered","Endemic","Non_coastal",1,1,0,0,0,0,0,0,"na","Dry_shrubland","Perennial_grassland","Dry_forest",483.9021,0.423837014114574,"Medium","Medium","Medium","Medium","Medium","Medium","Medium","Small","Medium","Small","Medium","Medium","No","No","No","Yes","Medium","Small","Few","Medium","Medium_decrease","Close","Medium","Medium","Medium","Medium","Medium","Small","Small","Small","Small","Small","Medium","Large","Large","Medium","Large","Small","Large","Large","Large","Large","Large","Large","Small","Large","Large","Low","Medium","Large","Small"
"36","Argyroxiphium virescens",36,"Dicot","Asteraceae","Argyroxiphium","Extinct","Endemic","Non_coastal",0,1,0,0,0,0,0,0,"na","Perennial_grassland","Dry_shrubland","Mesic_forest",107.19,0.457361457278284,"Medium","Medium","Small","Small","Small","Small","Medium","Large","Large","Small","Medium","Small","No","No","No","Yes","Large","none","Few","Small","Large_decrease","Far","Small","Small","Small","Medium","Small","Small","Small","Small","Small","Small","Medium","Large","Large","Medium","Large","Large","Large","Large","Large","Large","Large","Small","Medium","Medium","Medium","Medium","Medium","Medium","Small"
"37","Artemisia australis",37,"Dicot","Asteraceae","Artemisia","Apparently Secure","Endemic","Non_coastal",1,1,1,1,1,1,1,1,"na","Perennial_grassland","Wet_mesic_forest","Decidious_shrubland",4792.9707,0.354081580216514,"Medium","Large","Medium","Very_large","Very_large","Very_large","Very_small","Very_small","Small","Medium","Small","Very_large","Yes","No","No","Yes","Medium","none","Many","Medium","Medium_decrease","Close","Very_large","Very_large","Very_large","Medium","Medium","Medium","Large","Large","Medium","Large","Small","Small","Small","Small","Small","Small","Small","Small","Medium","Large","Medium","Large","Large","Large","Medium","Low","Low","Medium","Large"
"38","Artemisia kauaiensis",38,"Dicot","Asteraceae","Artemisia","Apparently Secure","Endemic","Non_coastal",0,0,1,0,0,0,0,0,"na","Wet_mesic_forest","Decidious_shrubland","Dry_forest",234.4878,0.516853161672559,"Small","Small","Small","Small","Medium","Small","Very_small","Small","Small","Medium","Very_small","Small","No","No","No","Yes","Medium","none","Few","Medium","Medium_decrease","Far","Small","Medium","Small","Small","Small","Small","Medium","Medium","Medium","Small","Small","Small","Small","Medium","Large","Large","Small","Small","Small","Large","Large","Large","Large","Large","Large","Low","High","Large","Small"
"39","Artemisia mauiensis",39,"Dicot","Asteraceae","Artemisia","Apparently Secure","Endemic","Non_coastal",0,1,0,0,0,0,0,0,"na","Perennial_grassland","Dry_shrubland","Wet_mesic_forest",353.0124,0.459345129558892,"Medium","Medium","Small","Small","Medium","Small","Small","Medium","Large","Large","Medium","Small","Yes","No","No","Yes","Small","none","Few","Large","Small_decr_or_inc","Far","Small","Medium","Small","Medium","Large","Large","Medium","Medium","Small","Small","Small","Medium","Large","Small","Medium","Medium","Large","Large","Large","Large","Large","Large","Large","Medium","Medium","High","Medium","Medium","Medium"
"40","Asplenium acuminatum",40,"Pteridophyte","Aspleniaceae","Asplenium","Apparently Secure","Endemic","Non_coastal",1,1,1,1,1,1,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Mesic_forest",2282.7285,0.308383711181493,"Very_large","Large","Large","Large","Large","Small","Medium","Very_large","Very_large","Large","Large","Medium","No","No","No","Yes","Small","none","Many","Large","Medium_decrease","Far","Large","Large","Small","Medium","Large","Medium","Medium","Medium","Small","Small","Medium","Large","Large","Medium","Large","Large","Small","Large","Large","Small","Small","Small","Large","Small","Small","High","Medium","Medium","Medium"
"41","Asplenium adiantum-nigrum",41,"Pteridophyte","Aspleniaceae","Asplenium","Apparently Secure","Indigenous","Non_coastal",1,1,1,1,1,1,0,0,"na","Perennial_grassland","Wet_forest","Mesic_forest",9510.9048,0.309450057868735,"Very_large","Medium","Large","Very_large","Very_large","Very_small","Small","Very_large","Large","Very_large","Medium","Large","No","Yes","No","Yes","Small","Large","Many","Large","Small_decr_or_inc","Far","Very_large","Very_large","Very_small","Large","Large","Large","Large","Medium","Medium","Small","Small","Large","Large","Small","Large","Small","Small","Large","Large","Medium","Medium","Large","Large","Small","Small","Low","Low","Medium","Large"
"42","Asplenium aethiopicum",42,"Pteridophyte","Aspleniaceae","Asplenium","Apparently Secure","Indigenous","Non_coastal",1,1,1,1,1,1,0,0,"na","Wet_forest","Perennial_grassland","Mesic_forest",5673.2049,0.210075336557278,"Very_large","Very_large","Large","Very_large","Very_large","Very_large","Medium","Large","Very_large","Large","Large","Very_large","No","Yes","No","Yes","Small","Large","Many","Large","Small_decr_or_inc","Close","Very_large","Very_large","Very_large","Large","Large","Large","Large","Medium","Small","Small","Medium","Medium","Large","Medium","Large","Large","Medium","Large","Large","Medium","Medium","Medium","Medium","Small","Small","Low","Medium","Medium","Large"
"43","Asplenium contiguum",43,"Pteridophyte","Aspleniaceae","Asplenium","Apparently Secure","Endemic","Non_coastal",1,1,1,1,1,1,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Mesic_forest",5900.7528,0.292674579804175,"Very_large","Medium","Medium","Large","Very_large","Small","Small","Very_large","Large","Very_large","Large","Large","No","Yes","No","Yes","Small","Large","Many","Large","Small_decr_or_inc","Far","Large","Very_large","Small","Large","Medium","Medium","Large","Medium","Medium","Small","Small","Large","Medium","Small","Large","Large","Small","Large","Large","Small","Small","Small","Large","Small","Medium","Medium","Low","Small","Large"
